{x=1344,m=7,a=841,s=655}
{x=349,m=44,a=343,s=2649}
{x=746,m=22,a=1245,s=147}
{x=1293,m=341,a=231,s=38}
{x=1730,m=1036,a=212,s=309}
{x=14,m=1402,a=1521,s=1297}
{x=583,m=618,a=1081,s=831}
{x=2278,m=1047,a=857,s=1119}
{x=87,m=1659,a=175,s=376}
{x=149,m=524,a=1025,s=669}
{x=1208,m=709,a=494,s=1877}
{x=1791,m=1443,a=767,s=491}
{x=571,m=3666,a=675,s=613}
{x=1038,m=1625,a=418,s=240}
{x=1365,m=2734,a=385,s=867}
{x=2713,m=127,a=2637,s=428}
{x=714,m=976,a=2819,s=520}
{x=395,m=462,a=799,s=369}
{x=2421,m=2679,a=81,s=2634}
{x=542,m=1258,a=54,s=2221}
{x=1628,m=125,a=767,s=934}
{x=1329,m=58,a=1566,s=1925}
{x=37,m=230,a=489,s=2915}
{x=2842,m=1518,a=200,s=514}
{x=1144,m=55,a=2330,s=6}
{x=302,m=347,a=1906,s=2678}
{x=94,m=1910,a=1554,s=2994}
{x=2266,m=853,a=1224,s=468}
{x=58,m=36,a=1316,s=1623}
{x=42,m=690,a=742,s=3281}
{x=389,m=757,a=469,s=511}
{x=1402,m=136,a=1401,s=2003}
{x=911,m=1732,a=1039,s=2192}
{x=1468,m=1436,a=322,s=1027}
{x=363,m=1849,a=404,s=1642}
{x=2474,m=1690,a=1435,s=1554}
{x=1600,m=2719,a=441,s=208}
{x=229,m=587,a=355,s=307}
{x=668,m=1438,a=203,s=47}
{x=2002,m=576,a=650,s=2785}
{x=2040,m=735,a=517,s=2140}
{x=1586,m=337,a=924,s=528}
{x=971,m=641,a=79,s=138}
{x=2262,m=708,a=2570,s=630}
{x=159,m=1081,a=2184,s=109}
{x=1966,m=43,a=57,s=2215}
{x=2219,m=2151,a=609,s=614}
{x=897,m=212,a=2484,s=650}
{x=131,m=569,a=1297,s=606}
{x=1890,m=1920,a=757,s=417}
{x=2953,m=702,a=3238,s=1299}
{x=111,m=191,a=3139,s=361}
{x=99,m=149,a=18,s=281}
{x=232,m=170,a=942,s=2884}
{x=1998,m=423,a=684,s=37}
{x=2591,m=2,a=149,s=1553}
{x=1538,m=359,a=774,s=280}
{x=1062,m=243,a=38,s=1991}
{x=729,m=1491,a=169,s=810}
{x=304,m=3158,a=2124,s=1770}
{x=203,m=139,a=885,s=58}
{x=62,m=419,a=83,s=1739}
{x=1046,m=448,a=112,s=2881}
{x=133,m=897,a=658,s=2968}
{x=1150,m=1829,a=1683,s=2455}
{x=2215,m=1609,a=525,s=1292}
{x=7,m=820,a=300,s=72}
{x=159,m=2927,a=337,s=301}
{x=1237,m=470,a=1637,s=2072}
{x=1898,m=168,a=2929,s=775}
{x=216,m=2823,a=108,s=51}
{x=1508,m=803,a=63,s=62}
{x=930,m=90,a=220,s=187}
{x=1112,m=78,a=1668,s=725}
{x=570,m=1180,a=2015,s=1112}
{x=1943,m=378,a=2345,s=2763}
{x=2427,m=258,a=600,s=441}
{x=2317,m=708,a=1108,s=183}
{x=169,m=153,a=1666,s=1157}
{x=721,m=1581,a=1487,s=1527}
{x=321,m=3244,a=1751,s=67}
{x=1691,m=2264,a=86,s=46}
{x=1561,m=494,a=152,s=1832}
{x=383,m=2150,a=20,s=1507}
{x=311,m=1190,a=679,s=744}
{x=600,m=865,a=1200,s=445}
{x=2019,m=80,a=886,s=80}
{x=1031,m=1503,a=390,s=27}
{x=122,m=3010,a=947,s=2248}
{x=1075,m=2302,a=620,s=1920}
{x=390,m=653,a=837,s=415}
{x=46,m=1948,a=116,s=1161}
{x=1385,m=603,a=903,s=272}
{x=1320,m=169,a=393,s=165}
{x=1338,m=505,a=25,s=233}
{x=220,m=1431,a=216,s=1804}
{x=246,m=2975,a=1265,s=108}
{x=652,m=1410,a=1054,s=614}
{x=232,m=2082,a=2317,s=1503}
{x=1697,m=225,a=24,s=313}
{x=140,m=885,a=2597,s=1326}
{x=789,m=1925,a=228,s=518}
{x=456,m=902,a=81,s=1581}
{x=2241,m=2249,a=629,s=1443}
{x=30,m=289,a=909,s=542}
{x=455,m=33,a=547,s=396}
{x=629,m=471,a=1246,s=647}
{x=1,m=1178,a=33,s=320}
{x=358,m=1131,a=2958,s=773}
{x=21,m=449,a=1148,s=1841}
{x=1282,m=759,a=662,s=1436}
{x=1668,m=466,a=997,s=3275}
{x=150,m=3273,a=2261,s=1610}
{x=2334,m=1559,a=1846,s=1977}
{x=1388,m=321,a=1549,s=312}
